"Tree","BM_lnL","BM_AICc","BM_sigsq","BM_z0","BM_rows","BM_convergence","BM_Delta_AICc","BM_AICc_Weight","OU_lnL","OU_AICc","OU_alpha","OU_sigsq","OU_z0","OU_rows","OU_convergence","OU_Delta_AICc","OU_AICc_Weight","EB_lnL","EB_AICc","EB_a","EB_sigsq","EB_z0","EB_rows","EB_convergence","EB_Delta_AICc","EB_AICc_Weight","Best","Best_AICc_Weight"
"1",-98.9890303132258,202.131906780298,0.0126244913709099,5.31688623670166,100,0,11.9496052627441,0.00253337521558629,-91.9353066029327,190.182301517554,0.0316694075383106,0.0327640969752268,5.21619359033569,100,0,0,0.99660561733231,-98.9893138446796,204.290316001047,-1e-06,0.0126260515144572,5.3168883642755,100,0,14.1080144834938,0.000861007452103773,"OU",0.99660561733231
"2",-98.7380907619061,201.630027677658,0.0145358749213104,5.25246253569388,100,0,10.7722932631796,0.00455165683626203,-92.2730230513952,190.857734414479,0.0322029189776778,0.0342075172778327,5.23885461072589,100,0,0,0.993901331959773,-98.7383361755563,203.788360662801,-1e-06,0.0145371164965742,5.25246179105734,100,0,12.9306262483222,0.00154701120396471,"OU",0.993901331959773
"3",-95.7061335421491,195.566113238144,0.00745611950840089,5.18977999956011,100,0,7.56216582523669,0.0221222452292164,-90.8461295506097,188.003947412908,0.0168120675792685,0.0172685552210206,5.21673264194606,100,0,0,0.970359465993182,-95.7064575810592,197.724603473807,-1e-06,0.00745719808085824,5.18977863672039,100,0,9.72065606089913,0.00751828877760137,"OU",0.970359465993182
"4",-94.3576649993891,192.869176152624,0.0088506062553312,5.16508945719373,100,0,6.73737244356161,0.0329161459102127,-89.9100576986872,186.131803709063,0.0195589651916544,0.0199344022919258,5.20597926650461,100,0,0,0.955896378340575,-94.3579122990763,195.027512909841,-1e-06,0.0088519046236921,5.16508737744645,100,0,8.89570920077827,0.0111874757492119,"OU",0.955896378340575
"5",-96.6930670350381,197.539980223922,0.00889471838656178,5.24069170434286,100,0,8.64225304324117,0.0130525782412993,-91.2930194344965,188.897727180681,0.0179720758318471,0.0194190248143835,5.26151283006464,100,0,0,0.982511651060357,-96.6934302596888,199.698548831066,-1e-06,0.00889591601280081,5.24069023110869,100,0,10.8008216503847,0.00443577069834375,"OU",0.982511651060357
"6",-95.7187779354441,195.591402024734,0.0103635594450893,5.34620355304641,100,0,6.99033293285333,0.02915822141337,-91.1446903900964,188.601069091881,0.0190585717065806,0.0210155261816174,5.30021596044686,100,0,0,0.960931741327771,-95.7190456596906,197.749779631069,-1e-06,0.0103647531786231,5.34620388519721,100,0,9.14871053918836,0.00991003725885867,"OU",0.960931741327771
"7",-101.843499091712,207.840844337269,0.0171258749890431,5.18223334005659,100,0,15.8251689217216,0.000365927667591277,-92.8519935519298,192.015675415548,0.0439542700710546,0.0460591441777901,5.20887253513157,100,0,0,0.999509707467271,-101.843793991297,209.999276294283,-1e-06,0.0171276903482374,5.18223289507616,100,0,17.9836008787355,0.000124364865138024,"OU",0.999509707467271
"8",-94.8265241648241,193.806894483494,0.00916196779685052,5.27172477059621,100,0,6.57123203849014,0.035631176597721,-90.4619870666579,187.235662445004,0.0172524132840036,0.0186837366391302,5.25939997718291,100,0,0,0.952258966074499,-94.8268043115055,195.965296934699,-1e-06,0.0091630784237914,5.27172430273557,100,0,8.72963448969512,0.0121098573277801,"OU",0.952258966074499
"9",-102.07771477164,208.309275697125,0.016244358484675,5.29698437630414,100,0,15.8002265192525,0.000370517519086158,-93.0986804330923,192.509049177873,0.102010242315776,0.0975671786014439,5.1793183394877,100,0,0,0.99950355353345,-102.077976582442,210.467641476572,-1e-06,0.0162462678390842,5.29698570416071,100,0,17.9585922986993,0.000125928947463827,"OU",0.99950355353345
"10",-102.385524921931,208.924895997707,0.0157007082106421,5.19140619557744,100,0,16.464206834214,0.00026588152971352,-93.0745004259025,192.460689163493,0.0868442359857317,0.0833741409114416,5.16907205259072,100,0,0,0.99964375516803,-102.385816439081,211.083321189851,-1e-06,0.0157022759154067,5.19140483844469,100,0,18.6226320263577,9.03633022560025e-05,"OU",0.99964375516803
"11",-97.9940335680874,200.141913290021,0.00975370922773056,5.26181599722435,100,0,9.78089215038341,0.00744309309253376,-92.0246664139747,190.361021139638,0.0224032534863861,0.0234155940996197,5.25329706700622,100,0,0,0.990027356807058,-97.9943575288592,202.300403369407,-1e-06,0.0097549196225095,5.26181496975536,100,0,11.9393822297691,0.00252955010040776,"OU",0.990027356807058
"12",-94.1426226992273,192.439091552301,0.00976823374519051,5.22293376355742,100,0,6.98946757405284,0.0291703447025515,-89.5689678332798,185.449623978248,0.0189842593972455,0.019997776055152,5.23495814193427,100,0,0,0.960915415434627,-94.1428821274794,194.597452566647,-1e-06,0.00976963630471773,5.22293293116727,100,0,9.14782858839916,0.0099142398628218,"OU",0.960915415434627
"13",-99.8317812220456,203.817408597937,0.01016293162146,5.31988111966183,100,0,11.0822098274879,0.00390168691595261,-93.2117552293806,192.73519877045,0.0239315545167632,0.0249735088339807,5.25843176329058,100,0,0,0.994772348906263,-99.8321292691394,205.975946849967,-1e-06,0.0101642837514177,5.31988008613418,100,0,13.2407480795175,0.00132596417778435,"OU",0.994772348906263
"14",-100.091363596661,204.336573347169,0.00888946646901427,5.21709332452561,100,0,10.7726713593345,0.0045508021040021,-93.6261068380729,193.563901987834,0.246053773393441,0.234759690386754,5.17144104185529,100,0,0,0.993902569943822,-100.091668975424,206.495026262537,-1e-06,0.00889050026376039,5.21709181167893,100,0,12.931124274703,0.00154662795217558,"OU",0.993902569943822
"15",-99.2806173528508,202.715080859548,0.0111326241307312,5.18165586969796,100,0,11.8380459728627,0.00267818005959775,-92.2826732874984,190.877034886685,0.0273567175565883,0.0282871858907143,5.22369128967219,100,0,0,0.996411642648937,-99.2809496281932,204.873587568075,-1e-06,0.011133981634845,5.18165423706196,100,0,13.9965526813896,0.000910177291465416,"OU",0.996411642648937
"16",-105.85952382491,215.872893803666,0.0106476248877772,5.20525210776265,100,0,23.6690571668956,7.24978824843826e-06,-92.946074162541,192.20383663677,0.0822001732850025,0.0786595169270909,5.17225404284104,100,0,0,0.999990286858788,-105.860051592284,218.031791496257,-1e-06,0.0106492699935199,5.20525012756532,100,0,25.8279548594862,2.46335296307632e-06,"OU",0.999990286858788
"17",-101.09139226847,206.336630690786,0.0113711975982392,5.17745558386241,100,0,14.3919913764203,0.000748829297651231,-92.8164755013385,191.944639314365,0.0324609993897395,0.0327896964167175,5.19119552970059,100,0,0,0.998996684438598,-101.091735379024,208.495159069737,-1e-06,0.0113725830396537,5.17745427205427,100,0,16.5505197553719,0.000254486263750617,"OU",0.998996684438598
"18",-97.7304013439494,199.614648841745,0.0113221013521084,5.28013608083091,100,0,10.1125735390969,0.00631527272924521,-91.5951934954799,189.502075302648,0.0239933221705749,0.0254592663443355,5.27753906161848,100,0,0,0.991538435238485,-97.7307094903383,201.773107292365,-1e-06,0.011323479213567,5.28013429145844,100,0,12.2710319897168,0.00214629203226965,"OU",0.991538435238485
"19",-96.0374107219709,196.228667597788,0.0122166957544762,5.18641632796682,100,0,8.77918310533974,0.0122029534743018,-90.5688980903799,187.449484492448,0.0273343010307584,0.0277131438989513,5.20390057882974,100,0,0,0.983649429921619,-96.0376337965559,198.3869559048,-1e-06,0.0122177338490847,5.18641566580044,100,0,10.9374714123519,0.00414761660407912,"OU",0.983649429921619
"20",-96.5011519451744,197.156150044195,0.00919383842185018,5.28340918233533,100,0,9.52638093518996,0.00844175060601941,-90.6590403986583,187.629769109005,0.0198942506568358,0.0207908193264651,5.23714910275891,100,0,0,0.988689345397587,-96.5014904970819,199.314669305852,-1e-06,0.00919489996059818,5.28340967330545,100,0,11.6849001968471,0.00286890399639355,"OU",0.988689345397587
"21",-100.837395556733,205.828637267312,0.0115907751925457,5.27962023174998,100,0,14.0541335767579,0.00088647713474219,-92.7314076894328,191.774503690554,0.031043535943114,0.0320743092555021,5.24436149546826,100,0,0,0.998812268775046,-100.83777574808,207.987239807849,-1e-06,0.0115923321993251,5.27961975833449,100,0,16.2127361172949,0.000301254090212066,"OU",0.998812268775046
"22",-99.5192701210636,203.192386395973,0.0119759265853426,5.36618566222773,100,0,11.261911642211,0.00356800767416771,-92.809393221037,191.930474753762,0.0303766307072823,0.0311409728823082,5.26322058406933,100,0,0,0.995219371425932,-99.5195723575733,205.350833026835,-1e-06,0.0119773056081903,5.36618565631083,100,0,13.4203582730726,0.00121262089990002,"OU",0.995219371425932
"23",-101.035350131996,206.224546417839,0.0131207774875208,5.23996300041153,100,0,13.6020562891563,0.00111097440820054,-93.1554009084971,192.622490128683,0.078954959105138,0.0755840692443796,5.1760603622902,100,0,0,0.998511450056313,-101.035651164851,208.382990641389,-1e-06,0.013122178443623,5.23996222722824,100,0,15.760500512707,0.000377575535486146,"OU",0.998511450056313
"24",-102.499054837272,209.15195582839,0.0135414317123766,5.26411820357338,100,0,16.2522204257968,0.000295599118618341,-93.2940235454523,192.899735402593,0.042718151024579,0.0429346161098065,5.18897580492981,100,0,0,0.99960394078588,-102.499377376787,211.310443065262,-1e-06,0.0135427686228899,5.2641187362973,100,0,18.4107076626694,0.000100460095501478,"OU",0.99960394078588
"25",-97.5873109993009,199.328468152448,0.0101071139125741,5.26823284830445,100,0,9.91657741318892,0.00695943425378032,-91.5501012137853,189.411890739259,0.0232177312551836,0.024055324516728,5.26416866451756,100,0,0,0.99067535989498,-97.5876230471964,201.486934406081,-1e-06,0.0101085792404102,5.26823196373981,100,0,12.075043666822,0.00236520585124005,"OU",0.99067535989498
"26",-103.392008186669,210.937862527183,0.0160413342679023,5.30288048045076,100,0,17.8613521889304,0.000132245131581774,-93.3824110132824,193.076510338253,0.12450828495609,0.118948763918497,5.17886999993259,100,0,0,0.999822810025632,-103.392308343473,213.096304998635,-1e-06,0.0160428786714543,5.30288062677748,100,0,20.019794660382,4.49448427859694e-05,"OU",0.999822810025632
"27",-99.0628878785745,202.279621910995,0.0111368830652882,5.20828612319537,100,0,11.6953349087368,0.00287550309674528,-92.1362993452851,190.584287002258,0.0267761525205646,0.0277580739250544,5.25121332652944,100,0,0,0.996147265398823,-99.063226149392,204.438140610472,-1e-06,0.0111382849547399,5.20828450568472,100,0,13.8538536082138,0.000977231504431892,"OU",0.996147265398823
"28",-100.911637611973,205.977121377792,0.0117638904979891,5.24107496047394,100,0,14.0694625486513,0.000879716680486666,-92.7979852587264,191.907658829141,0.0502417505891307,0.0486646727411109,5.19591462098374,100,0,0,0.998821313200524,-100.911972802788,208.135633917264,-1e-06,0.0117653078298528,5.24107357575971,100,0,16.2279750881225,0.00029897011898926,"OU",0.998821313200524
"29",-101.365771946959,206.885390047765,0.00978327341008217,5.30464386672124,100,0,14.2021335496366,0.000823315984248498,-93.1857840932201,192.683256498128,0.068269734708893,0.065121630796682,5.17130700322205,100,0,0,0.998896894691428,-101.366154030172,209.043996372032,-1e-06,0.00978443393074185,5.30464326804626,100,0,16.3607398739034,0.000279789324323917,"OU",0.998896894691428
"30",-99.0271582845734,202.208162722993,0.00909313275414451,5.30781321772653,100,0,10.2393736009387,0.00593039586207232,-92.8285504051829,191.968789122054,0.0217510758948619,0.02264878290851,5.2662374378451,100,0,0,0.992054223999682,-99.0275203404423,204.366728992573,-1e-06,0.00909436079592522,5.3078126259298,100,0,12.3979398705187,0.0020153801382452,"OU",0.992054223999682
"31",-97.9260036087931,200.005853371432,0.00986935504750971,5.21653313237521,100,0,11.1963012963174,0.00368641034911126,-91.2489318817133,188.809552075115,0.0231664709812924,0.0237399359636886,5.23829466124323,100,0,0,0.995060786856127,-97.926352432259,202.164393176206,-1e-06,0.0098706649605346,5.2165313521215,100,0,13.3548411010914,0.00125280279476206,"OU",0.995060786856127
"32",-97.2982729170307,198.750391987908,0.0113066446319255,5.19205447395787,100,0,10.5497018342497,0.00508385265425698,-90.9445009209848,188.200690153658,0.0257646397079951,0.0264061285549604,5.18867936613061,100,0,0,0.993188314227716,-97.2985531182678,200.908794548224,-1e-06,0.0113078501870203,5.19205386251054,100,0,12.7081043945661,0.00172783311802669,"OU",0.993188314227716
"33",-102.083495340446,208.320836834739,0.0141806800418958,5.23578942821884,100,0,15.5377963281776,0.000422439494469038,-93.2356760974366,192.783040506562,0.0960625593564804,0.091968240652311,5.17374225823752,100,0,0,0.999433994550701,-102.08382594456,210.479340200809,-1e-06,0.0141823825162454,5.23578930179653,100,0,17.6962996942474,0.00014356595483012,"OU",0.999433994550701
"34",-100.980420921242,206.114687996331,0.0168912155952635,5.20968558232256,100,0,13.7477313286894,0.00103303855171147,-93.0276341779766,192.366956667641,0.0488040714469198,0.0499176738660444,5.21516364279791,100,0,0,0.998615853765587,-100.980666666153,208.273021643994,-1e-06,0.0168925835540411,5.20968463262368,100,0,15.9060649763526,0.000351107682701138,"OU",0.998615853765587
"35",-101.196268989268,206.546384132382,0.0126719323657051,5.1964814889678,100,0,14.5330633794601,0.000697877355134474,-92.8508162206167,192.013320752922,0.0672309905648814,0.0647228132872806,5.18182392514607,100,0,0,0.999064947547391,-101.196592612432,208.704873536552,-1e-06,0.0126734813455473,5.19647921104465,100,0,16.6915527836304,0.000237175097474973,"OU",0.999064947547391
"36",-99.8290816819638,203.812009517774,0.0138529255696232,5.18388864376453,100,0,11.8988770783138,0.00259822723809332,-92.8007220638859,191.91313243946,0.0344402823273874,0.0358880882698489,5.21205063505331,100,0,0,0.996518714920164,-99.8293545586005,205.970397428889,-1e-06,0.0138542793467647,5.18388744115882,100,0,14.0572649894293,0.000883057841743151,"OU",0.996518714920164
"37",-95.8145714763879,195.782989106622,0.00680909516066133,5.15653644893869,100,0,7.45169904058153,0.0233392300114869,-91.0098008771761,188.33129006604,0.0145607421613854,0.0151188831523386,5.20554076073439,100,0,0,0.968729245582308,-95.8149407837139,197.941569879116,-1e-06,0.00681010685621996,5.15653376838255,100,0,9.61027981307572,0.00793152440620524,"OU",0.968729245582308
"38",-100.769513315917,205.69287278568,0.016614822566425,5.31045809160475,100,0,13.4683763558192,0.00118764759127347,-92.9564040590864,192.224496429861,0.0771065364042723,0.0746581306581062,5.19521325870179,100,0,0,0.998408702977176,-100.769775295004,207.851238901695,-1e-06,0.0166164831286148,5.31045765221495,100,0,15.6267424718343,0.000403649431550361,"OU",0.998408702977176
"39",-101.599186812499,207.352219778845,0.0119724095805994,5.17743389546742,100,0,15.6470272121642,0.000399998532020334,-92.6967521274963,191.705192566681,0.0545835196931163,0.0526323389076489,5.17886628730177,100,0,0,0.999464068932311,-101.599567909331,209.510824130351,-1e-06,0.0119738413365726,5.17743178345773,100,0,17.80563156367,0.000135932535668944,"OU",0.999464068932311
"40",-100.005315563861,204.164477281569,0.0127826375349411,5.25161578143448,100,0,13.2285934761528,0.0013386522595692,-92.3120977468637,190.935883805416,0.0336684706966875,0.0344218830187687,5.20434009025396,100,0,0,0.998206400908448,-100.005632535973,206.322953383634,-1e-06,0.0127841394933403,5.2516155370028,100,0,15.3870695782181,0.000454946831983165,"OU",0.998206400908448
"41",-99.9005248216513,203.954895797149,0.0146265481201817,5.19621083438695,100,0,13.874119522102,0.000969858783920584,-91.8845439816792,190.080776275047,0.0326749637561106,0.0341815935565851,5.23615790192528,100,0,0,0.998700525448027,-99.9008265831866,206.113341478061,-1e-06,0.0146282921378377,5.19620930827302,100,0,16.0325652030146,0.000329615768052382,"OU",0.998700525448027
"42",-94.989648555865,194.133143265576,0.0135309632665993,5.30477794637056,100,0,7.16128286828643,0.0268554009988702,-90.3300860428007,186.97186039729,0.0268969376571545,0.0284653042511106,5.26287310996326,100,0,0,0.964016479507806,-94.9898347288612,196.291357769411,-1e-06,0.0135322898657953,5.30477858520664,100,0,9.31949737212111,0.0091281194933235,"OU",0.964016479507806
"43",-97.3661349659457,198.886116085738,0.0115066362840541,5.29170881253075,100,0,9.64287924902001,0.00796917215099547,-91.4657742625147,189.243236836718,0.0261418241337265,0.0270655223031854,5.26637011942958,100,0,0,0.989322377177891,-97.3664177404631,201.044523792615,-1e-06,0.011507936895494,5.29170766442827,100,0,11.801286955897,0.00270845067111406,"OU",0.989322377177891
"44",-97.5585352239037,199.270916601654,0.0109789936572749,5.25234704743095,100,0,9.76672892582957,0.0074954576791532,-91.5962496820678,189.504187675824,0.0228871267329375,0.0242279332208768,5.27749143860669,100,0,0,0.98995714785989,-97.5588402824893,201.429368876667,-1e-06,0.0109804114136606,5.25234534341438,100,0,11.9251812008429,0.00254739446095683,"OU",0.98995714785989
"45",-104.502362035913,213.158570225672,0.0145373768263418,5.25494751625084,100,0,21.6860800579692,1.95396229242063e-05,-92.5804009280073,191.472490167703,0.0681412308947498,0.0663981894325114,5.18115786773792,100,0,0,0.99997382015615,-104.50274007088,215.317168453448,-1e-06,0.0145392412050099,5.25494886099095,100,0,23.8446782857457,6.64022092588116e-06,"OU",0.99997382015615
"46",-99.0482205589159,202.250287271678,0.0128230222239827,5.33190862805959,100,0,11.2520833344315,0.00358550004128009,-92.3432578127791,190.998203937246,0.0393783446312594,0.0394904704018462,5.22902551491704,100,0,0,0.995195910815609,-99.0485036763691,204.408695664427,-1e-06,0.0128244498717518,5.33190779268359,100,0,13.4104917271801,0.00121858914311082,"OU",0.995195910815609
