"","ModMeanVal","ModMinVal","ModMaxVal","Age","NodeNo","AncVal","ValChangeMean","AbsValChangeMean","RateMean","AbsRateMean","ValChangeMin","AbsValChangeMin","RateMin","AbsRateMin","ValChangeMax","AbsValChangeMax","RateMax","AbsRateMax"
"A_97.5_1",-31.7773462795517,-52.8333312988281,-3.73333320617676,29.099365279,109,-22.521287648338,9.25605863121367,9.25605863121367,0.318084554163573,0.318084554163573,30.3120436504901,30.3120436504901,1.04167370524625,1.04167370524625,-18.7879544421613,18.7879544421613,-0.64564825596797,0.64564825596797
"A_97.5_2",-23.8819338718443,-38.8333343505859,-2.43333339691162,15.557307501,100,-21.2233999925763,2.65853387926803,2.65853387926803,0.170886503278099,0.170886503278099,17.6099343580096,17.6099343580096,1.13193972394501,1.13193972394501,-18.7900665956646,18.7900665956646,-1.20779682438345,1.20779682438345
"A_97.5_3",-3.8907407257292,-41.9,16.566667175293,24.4359838302,126,-5.48242694112084,-1.59168621539164,1.59168621539164,-0.0651369810379604,0.0651369810379604,36.4175730588792,36.4175730588792,1.49032563255633,1.49032563255633,-22.0490941164138,22.0490941164138,-0.902320703337664,0.902320703337664
"A_97.5_4",-19.9421767059638,-34.4,11.1,18.7020230921,105,-23.1798320774872,-3.23765537152335,3.23765537152335,-0.173117921819431,0.173117921819431,11.2201679225128,11.2201679225128,0.599944073818003,0.599944073818003,-34.2798320774871,34.2798320774871,-1.83294779974726,1.83294779974726
"A_97.5_5",-13.2157895941483,-23.766667175293,-6.63333358764648,8.93654492000002,120,-4.60310586986038,8.61268372428792,8.61268372428792,0.963759909605859,0.963759909605859,19.1635613054326,19.1635613054326,2.14440384701077,2.14440384701077,2.0302277177861,2.0302277177861,0.227182623257725,0.227182623257725
"A_97.5_6",-0.673809514726911,-46.5,16.933332824707,39.56632735,111,-5.81537927818288,-5.14156976345597,5.14156976345597,-0.129948117700542,0.129948117700542,40.6846207218171,40.6846207218171,1.02826376484036,1.02826376484036,-22.7487121028899,22.7487121028899,-0.574951319126916,0.574951319126916
"A_97.5_7",-22.8809523446219,-34.2,7.63333358764648,16.824099806,92,-21.5200421681127,1.36091017650921,1.36091017650921,0.0808905196831912,0.0808905196831912,12.6799578318873,12.6799578318873,0.75367823408687,0.75367823408687,-29.1533757557592,29.1533757557592,-1.73283421353469,1.73283421353469
"A_97.5_8",1.79259258906047,1.06666669845581,3.23333320617676,22.152324831,127,-7.90893911814119,-9.70153170720166,9.70153170720166,-0.437946435925557,0.437946435925557,-8.975605816597,8.975605816597,-0.405176697483079,0.405176697483079,-11.142272324318,11.142272324318,-0.502984332765175,0.502984332765175
"A_97.5_9",-11.7000000317892,-45.4,7,22.152324831,127,-7.90893911814119,3.79106091364801,3.79106091364801,0.171136029404137,0.171136029404137,37.4910608818588,37.4910608818588,1.69242105141911,1.69242105141911,-14.9089391181412,14.9089391181412,-0.673019163084752,0.673019163084752
"A_97.5_10",-15.5453332366943,-32.9,8.53333358764648,7.36757578499999,95,-19.4575031557142,-3.91216991901988,3.91216991901988,-0.530998259561152,0.530998259561152,13.4424968442858,13.4424968442858,1.82454816028551,1.82454816028551,-27.9908367433607,27.9908367433607,-3.79919223910104,3.79919223910104
