"","ModMeanVal","ModMinVal","ModMaxVal","Age","NodeNo","AncVal","ValChangeMean","AbsValChangeMean","RateMean","AbsRateMean","ValChangeMin","AbsValChangeMin","RateMin","AbsRateMin","ValChangeMax","AbsValChangeMax","RateMax","AbsRateMax"
"A_97.5_1",11.1915858752519,-14.933332824707,40.9666656494141,28.86229138,126,16.0436005180775,4.8520146428256,4.8520146428256,0.168109128237399,0.168109128237399,30.9769333427845,30.9769333427845,1.07326660017887,1.07326660017887,-24.9230651313366,24.9230651313366,-0.863516510286738,0.863516510286738
"A_97.5_2",35.4549619135966,24.7,43.7333343505859,12.284198567,99,34.1576441166588,-1.29731779693782,1.29731779693782,-0.10560866383444,0.10560866383444,9.45764411665878,9.45764411665878,0.769903226903673,0.769903226903673,-9.57569023392712,9.57569023392712,-0.779512817356359,0.779512817356359
"A_97.5_3",32.4990740458171,18.233332824707,42.5666656494141,19.357377172,123,33.0135871690959,0.514513123278768,0.514513123278768,0.0265796920061567,0.0265796920061567,14.7802543443889,14.7802543443889,0.763546332390949,0.763546332390949,-9.55307848031823,9.55307848031823,-0.493510995597924,0.493510995597924
"A_97.5_4",31.9863945785834,10.5,39.9,23.39018619,103,29.4187709712736,-2.56762360730981,2.56762360730981,-0.109773542906107,0.109773542906107,18.9187709712736,18.9187709712736,0.808833705623169,0.808833705623169,-10.4812290287264,10.4812290287264,-0.448103702278669,0.448103702278669
"A_97.5_5",30.9052629972759,10.5,37.5,32.620860328,118,35.2792141166725,4.37395111939662,4.37395111939662,0.134084480771412,0.134084480771412,24.7792141166725,24.7792141166725,0.759612526080539,0.759612526080539,-2.22078588332748,2.22078588332748,-0.0680787036576493,0.0680787036576493
"A_97.5_6",28.4666665554047,-0.966666698455811,43.9666656494141,43.078773416,109,31.7140230827791,3.24735652737441,3.24735652737441,0.0753818242691261,0.0753818242691261,32.6806897812349,32.6806897812349,0.758626283660549,0.758626283660549,-12.252642566635,12.252642566635,-0.28442412805756,0.28442412805756
"A_97.5_7",32.8603177751813,22.633332824707,41.0333343505859,19.179696532,93,33.2714505055532,0.411132730371882,0.411132730371882,0.0214358308373616,0.0214358308373616,10.6381176808462,10.6381176808462,0.55465516167564,0.55465516167564,-7.76188384503271,7.76188384503271,-0.404692734949301,0.404692734949301
"A_97.5_8",31.8666666666667,30.7,33.9666656494141,26.315427231,125,25.0698881213254,-6.79677854534132,6.79677854534132,-0.258281140020201,0.258281140020201,-5.63011187867462,5.63011187867462,-0.213947196420291,0.213947196420291,-8.89677752808873,8.89677752808873,-0.338082199843907,0.338082199843907
"A_97.5_9",29.3722221374512,23.133332824707,42.6333343505859,26.315427231,125,25.0698881213254,-4.30233401612582,4.30233401612582,-0.163490943101908,0.163490943101908,1.93655529661838,1.93655529661838,0.073590114255758,0.073590114255758,-17.5634462292605,17.5634462292605,-0.667420143898348,0.667420143898348
"A_97.5_10",34.5933331298828,26.4666656494141,44.2333343505859,3.198250696,96,33.9067650770206,-0.686568052862235,0.686568052862235,-0.214669867412493,0.214669867412493,7.44009942760646,7.44009942760646,2.32630276197912,2.32630276197912,-10.3265692735653,10.3265692735653,-3.2288179555407,3.2288179555407
