"","ModMeanVal","ModMinVal","ModMaxVal","Age","NodeNo","AncVal","ValChangeMean","AbsValChangeMean","RateMean","AbsRateMean","ValChangeMin","AbsValChangeMin","RateMin","AbsRateMin","ValChangeMax","AbsValChangeMax","RateMax","AbsRateMax"
"A_97.5_1",-9.54110037331442,-33.5,14.133332824707,28.033460756,128,-3.49615289548305,6.04494747783137,6.04494747783137,0.215633293742998,0.215633293742998,30.0038471045169,30.0038471045169,1.07028694621998,1.07028694621998,-17.6294857201901,17.6294857201901,-0.628872969828272,0.628872969828272
"A_97.5_2",7.54961834006182,-3.4,18.366667175293,24.16707328,100,7.69919086920171,0.149572529139894,0.149572529139894,0.00618910396831857,0.00618910396831857,11.0991908692017,11.0991908692017,0.459269136175752,0.459269136175752,-10.6674763060913,10.6674763060913,-0.441405385852799,0.441405385852799
"A_97.5_3",13.3416667090522,-5.56666679382324,24.433332824707,25.816912333,125,14.9699199366901,1.62825322763795,1.62825322763795,0.0630692472684528,0.0630692472684528,20.5365867305134,20.5365867305134,0.795470289615651,0.795470289615651,-9.46341288801685,9.46341288801685,-0.36655866379189,0.36655866379189
"A_97.5_4",7.42312920756486,-4.26666679382324,21.633332824707,23.066140746,105,4.39786533261143,-3.02526387495343,3.02526387495343,-0.131156048524418,0.131156048524418,8.66453212643468,8.66453212643468,0.375638570051526,0.375638570051526,-17.2354674920956,17.2354674920956,-0.747219384546782,0.747219384546782
"A_97.5_5",9.32456145035593,-4.26666679382324,13.3,21.844219012,120,15.558200606179,6.23363915582308,6.23363915582308,0.28536791140936,0.28536791140936,19.8248674000023,19.8248674000023,0.907556703634567,0.907556703634567,2.25820060617901,2.25820060617901,0.103377493374264,0.103377493374264
"A_97.5_6",12.7738094329834,-23.866667175293,23.333332824707,53.578990295,111,10.7446400949463,-2.02916933803707,2.02916933803707,-0.0378724818602345,0.0378724818602345,34.6113072702393,34.6113072702393,0.645986553305191,0.645986553305191,-12.5886927297607,12.5886927297607,-0.234955766438462,0.234955766438462
"A_97.5_7",6.62539686773505,-0.0333333343267441,14.4,11.1903097468,95,7.34939812246931,0.724001254734257,0.724001254734257,0.0646989467777059,0.0646989467777059,7.38273145679605,7.38273145679605,0.659743262147612,0.659743262147612,-7.05060187753069,7.05060187753069,-0.630063156164815,0.630063156164815
"A_97.5_8",17.3925923665364,17.033332824707,18.433332824707,34.132012454,127,8.44327633141891,-8.94931603511749,8.94931603511749,-0.262197139625991,0.262197139625991,-8.59005649328809,8.59005649328809,-0.25167155042103,0.25167155042103,-9.99005649328809,9.99005649328809,-0.29268876269021,0.29268876269021
"A_97.5_9",9.66111094156901,-6.63333358764648,22.433332824707,34.132012454,127,8.44327633141891,-1.2178346101501,1.2178346101501,-0.0356801290809144,0.0356801290809144,15.0766099190654,15.0766099190654,0.44171464953566,0.44171464953566,-13.9900564932881,13.9900564932881,-0.409880797745008,0.409880797745008
"A_97.5_10",10.5760000305176,1.26666669845581,22.433332824707,8.0360866768,94,8.5101672513918,-2.0658327791258,2.0658327791258,-0.257069499398235,0.257069499398235,7.24350055293599,7.24350055293599,0.90137163077743,0.90137163077743,-13.9231655733152,13.9231655733152,-1.73258031343926,1.73258031343926
"A_97.5_11",9.85757568234746,-0.0333333343267441,17.3,39.201730201,101,8.62316180989741,-1.23441387245005,1.23441387245005,-0.0314887599634202,0.0314887599634202,8.65649514422415,8.65649514422415,0.220819211290917,0.220819211290917,-8.67683819010259,8.67683819010259,-0.221338143638396,0.221338143638396
"A_97.5_12",22.211110941569,20.633332824707,25.366667175293,16.1652079022,115,16.1978849931293,-6.0132259484397,6.0132259484397,-0.371985685851979,0.371985685851979,-4.4354478315777,4.4354478315777,-0.274382356132522,0.274382356132522,-9.1687821821637,9.1687821821637,-0.567192345290893,0.567192345290893
"A_97.5_13",8.42666678237915,1.26666669845581,19.566667175293,8.0360866768,94,8.5101672513918,0.08350046901265,0.08350046901265,0.0103906879518502,0.0103906879518502,7.24350055293599,7.24350055293599,0.90137163077743,0.90137163077743,-11.0564999239012,11.0564999239012,-1.37585623059804,1.37585623059804
"A_97.5_14",14.6666666242811,6.26666679382324,23.533332824707,39.036879875,123,10.8921705222117,-3.77449610206939,3.77449610206939,-0.096690517125234,0.096690517125234,4.62550372838847,4.62550372838847,0.118490610499604,0.118490610499604,-12.6411623024953,12.6411623024953,-0.323826144481156,0.323826144481156
"A_97.5_15",8.84814831415813,1.43333330154419,18.366667175293,39.201730201,101,8.62316180989741,-0.224986504260722,0.224986504260722,-0.00573919832382761,0.00573919832382761,7.18982850835322,7.18982850835322,0.183405897430767,0.183405897430767,-9.74350536539559,9.74350536539559,-0.248547839991691,0.248547839991691
"A_97.5_16",20.633332824707,20.633332824707,20.633332824707,21.844219012,120,15.558200606179,-5.07513221852799,5.07513221852799,-0.23233296716811,0.23233296716811,-5.07513221852799,5.07513221852799,-0.23233296716811,0.23233296716811,-5.07513221852799,5.07513221852799,-0.23233296716811,0.23233296716811
"A_97.5_17",13.8,13.8,13.8,82.80387244,85,8.00009002548614,-5.79990997451386,5.79990997451386,-0.0700439460571907,0.0700439460571907,-5.79990997451386,5.79990997451386,-0.0700439460571907,0.0700439460571907,-5.79990997451386,5.79990997451386,-0.0700439460571907,0.0700439460571907
"A_97.5_18",13.4333332061767,12.1666664123535,14.7,21.36806412,113,15.4621283674898,2.02879516131308,2.02879516131308,0.0949452018638494,0.0949452018638494,3.29546195513628,3.29546195513628,0.154223702092498,0.154223702092498,0.76212836748978,0.76212836748978,0.0356667016351961,0.0356667016351961
"A_97.5_19",20.633332824707,20.633332824707,20.633332824707,27.449796903,116,15.8995290300352,-4.73380379467182,4.73380379467182,-0.172453144604303,0.172453144604303,-4.73380379467182,4.73380379467182,-0.172453144604303,0.172453144604303,-4.73380379467182,4.73380379467182,-0.172453144604303,0.172453144604303
"A_97.5_21",-4.26666679382324,-4.26666679382324,-4.26666679382324,28.033460756,128,-3.49615289548305,0.770513898340188,0.770513898340188,0.0274855075884726,0.0274855075884726,0.770513898340188,0.770513898340188,0.0274855075884726,0.0274855075884726,0.770513898340188,0.770513898340188,0.0274855075884726,0.0274855075884726
