"","ModMeanVal","ModMinVal","ModMaxVal","Age","NodeNo","AncVal","ValChangeMean","AbsValChangeMean","RateMean","AbsRateMean","ValChangeMin","AbsValChangeMin","RateMin","AbsRateMin","ValChangeMax","AbsValChangeMax","RateMax","AbsRateMax"
"A_97.5_1",11.1915858752519,-14.933332824707,40.9666656494141,55.808269076,116,22.827654247341,11.6360683720891,11.6360683720891,0.20850079324702,0.20850079324702,37.760987072048,37.760987072048,0.676619929219179,0.676619929219179,-18.1390114020731,18.1390114020731,-0.325023723229461,0.325023723229461
"A_97.5_2",35.4549619135966,24.7,43.7333343505859,17.63666761,103,33.9019728425596,-1.55298907103703,1.55298907103703,-0.088054563672589,0.088054563672589,9.20197284255957,9.20197284255957,0.521752354018514,0.521752354018514,-9.83136150802633,9.83136150802633,-0.557438725128093,0.557438725128093
"A_97.5_3",32.4990740458171,18.233332824707,42.5666656494141,30.078154971,113,32.0410688899372,-0.458005155879874,0.458005155879874,-0.0152271692303422,0.0152271692303422,13.8077360652302,13.8077360652302,0.459061936430045,0.459061936430045,-10.5255967594769,10.5255967594769,-0.349941569541921,0.349941569541921
"A_97.5_4",31.9863945785834,10.5,39.9,35.407875473,108,27.9197234360294,-4.06667114255405,4.06667114255405,-0.114852164616741,0.114852164616741,17.4197234360294,17.4197234360294,0.491973133189328,0.491973133189328,-11.9802765639706,11.9802765639706,-0.338350618440977,0.338350618440977
"A_97.5_5",30.9052629972759,10.5,37.5,17.7474276409,125,36.1817942194057,5.27653122212982,5.27653122212982,0.297312451634948,0.297312451634948,25.6817942194057,25.6817942194057,1.4470713581173,1.4470713581173,-1.31820578059428,1.31820578059428,-0.0742758785817723,0.0742758785817723
"A_97.5_6",28.4666665554047,-0.966666698455811,43.9666656494141,37.78388915,117,33.4586670522808,4.99200049687614,4.99200049687614,0.132119816386772,0.132119816386772,34.4253337507366,34.4253337507366,0.911111442606396,0.911111442606396,-10.5079985971333,10.5079985971333,-0.278107914074623,0.278107914074623
"A_97.5_7",32.8603177751813,22.633332824707,41.0333343505859,14.151685392,96,33.1320599425669,0.271742167385604,0.271742167385604,0.0192021063116073,0.0192021063116073,10.4987271178599,10.4987271178599,0.741871150117207,0.741871150117207,-7.90127440801899,7.90127440801899,-0.558327449286402,0.558327449286402
"A_97.5_8",31.8666666666667,30.7,33.9666656494141,25.736561749,115,26.4951269077303,-5.37153975893641,5.37153975893641,-0.208712407326326,0.208712407326326,-4.20487309226971,4.20487309226971,-0.163381306845818,0.163381306845818,-7.47153874168382,7.47153874168382,-0.290308348665654,0.290308348665654
"A_97.5_9",29.3722221374512,23.133332824707,42.6333343505859,25.736561749,115,26.4951269077303,-2.87709522972091,2.87709522972091,-0.11179019395754,0.11179019395754,3.36179408302328,3.36179408302328,0.130623278890542,0.130623278890542,-16.1382074428556,16.1382074428556,-0.627053745572004,0.627053745572004
"A_97.5_10",34.5933331298828,26.4666656494141,44.2333343505859,8.58799439199998,95,33.7463371200752,-0.846996009807626,0.846996009807626,-0.0986255895318972,0.0986255895318972,7.27967147066107,7.27967147066107,0.847656756441567,0.847656756441567,-10.4869972305107,10.4869972305107,-1.22112297142156,1.22112297142156
"A_97.5_11",34.7909093683416,21.6,43.7333343505859,34.896357163,104,32.9226888387709,-1.86822052957067,1.86822052957067,-0.0535362622764394,0.0535362622764394,11.3226888387709,11.3226888387709,0.324466212501292,0.324466212501292,-10.810645511815,10.810645511815,-0.309792952350835,0.309792952350835
"A_97.5_12",42.6555562337239,41.3333343505859,45.3,13.027500783,121,38.6922470191307,-3.96330921459315,3.96330921459315,-0.304226365487155,0.304226365487155,-2.64108733145515,2.64108733145515,-0.202731696236134,0.202731696236134,-6.60775298086925,6.60775298086925,-0.507215703989204,0.507215703989204
"A_97.5_13",33.3453333740234,27.1666656494141,44.2,8.58799439199998,95,33.7463371200752,0.401003746051778,0.401003746051778,0.0466935267709684,0.0466935267709684,6.57967147066107,6.57967147066107,0.766147620775145,0.766147620775145,-10.4536628799248,10.4536628799248,-1.21724146555834,1.21724146555834
"A_97.5_14",33.4740743001302,27.9666656494141,42.5666656494141,48.616634706,111,28.080760514882,-5.39331378524822,5.39331378524822,-0.110935563883911,0.110935563883911,0.11409486546787,0.11409486546787,0.00234682770944219,0.00234682770944219,-14.4859051345321,14.4859051345321,-0.297961905881247,0.297961905881247
