"","ModMeanVal","ModMinVal","ModMaxVal","Age","NodeNo","AncVal","ValChangeMean","AbsValChangeMean","RateMean","AbsRateMean","ValChangeMin","AbsValChangeMin","RateMin","AbsRateMin","ValChangeMax","AbsValChangeMax","RateMax","AbsRateMax"
"A_97.5_1",-31.7773462795517,-52.8333312988281,-3.73333320617676,62.228390246,127,-16.8216116430513,14.9557346365004,14.9557346365004,0.240336196668075,0.240336196668075,36.0117196557768,36.0117196557768,0.578702414017396,0.578702414017396,-13.0882784368745,13.0882784368745,-0.210326482577072,0.210326482577072
"A_97.5_2",-23.8819338718443,-38.8333343505859,-2.43333339691162,17.819981035,101,-21.6961559436035,2.18577792824084,2.18577792824084,0.122658824605244,0.122658824605244,17.1371784069824,17.1371784069824,0.961683313429094,0.961683313429094,-19.2628225466918,19.2628225466918,-1.08096762330206,1.08096762330206
"A_97.5_3",-3.8907407257292,-41.9,16.566667175293,28.30283582,124,-3.35746147110305,0.533279254626151,0.533279254626151,0.0188419018510263,0.0188419018510263,38.5425385288969,38.5425385288969,1.36179069737108,1.36179069737108,-19.924128646396,19.924128646396,-0.703962273360495,0.703962273360495
"A_97.5_4",-19.9421767059638,-34.4,11.1,11.898660673,106,-24.5574729931471,-4.61529628718328,4.61529628718328,-0.387883679854501,0.387883679854501,9.84252700685292,9.84252700685292,0.827196209501729,0.827196209501729,-35.6574729931471,35.6574729931471,-2.99676358315349,2.99676358315349
"A_97.5_5",-13.2157895941483,-23.766667175293,-6.63333358764648,12.7557197161,119,-3.75305121789896,9.46273837624934,9.46273837624934,0.741842764411456,0.741842764411456,20.013615957394,20.013615957394,1.56899151148118,1.56899151148118,2.88028236974752,2.88028236974752,0.225803203100496,0.225803203100496
"A_97.5_6",-0.673809514726911,-46.5,16.933332824707,38.517394757,110,-5.25551233145534,-4.58170281672843,4.58170281672843,-0.118951524256343,0.118951524256343,41.2444876685447,41.2444876685447,1.07080159311785,1.07080159311785,-22.1888451561623,22.1888451561623,-0.576073363636045,0.576073363636045
"A_97.5_7",-22.8809523446219,-34.2,7.63333358764648,21.199599554,92,-21.8186215349163,1.06233080970561,1.06233080970561,0.0501108903967561,0.0501108903967561,12.3813784650837,12.3813784650837,0.584038317966603,0.584038317966603,-29.4519551225628,29.4519551225628,-1.38926940801604,1.38926940801604
"A_97.5_8",1.79259258906047,1.06666669845581,3.23333320617676,23.884838763,126,-10.0373608623523,-11.8299534514128,11.8299534514128,-0.495291325547424,0.495291325547424,-11.1040275608081,11.1040275608081,-0.464898577335567,0.464898577335567,-13.2706940685291,13.2706940685291,-0.555611624604587,0.555611624604587
"A_97.5_9",-11.7000000317892,-45.4,7,23.884838763,126,-10.0373608623523,1.6626391694369,1.6626391694369,0.0696106507535855,0.0696106507535855,35.3626391376477,35.3626391376477,1.48054753429728,1.48054753429728,-17.0373608623523,17.0373608623523,-0.713312785211046,0.713312785211046
"A_97.5_10",-15.5453332366943,-32.9,8.53333358764648,4.60843528700002,95,-18.2019292754919,-2.65659603879757,2.65659603879757,-0.576463782900801,0.576463782900801,14.6980707245081,14.6980707245081,3.18938420725361,3.18938420725361,-26.7352628631384,26.7352628631384,-5.80137534719346,5.80137534719346
