"Tree","MDI_1","p_1","MDI_2","p_2","MDI_3","p_3","MDI_4","p_4","MDI_5","p_5","MDI_6","p_6","MDI_7","p_7","MDI_8","p_8","MDI_9","p_9","MDI_10","p_10","MDI_11","p_11","MDI_12","p_12","MDI_13","p_13","MDI_14","p_14","MDI_15","p_15","MDI_16","p_16","MDI_17","p_17","MDI_18","p_18","MDI_19","p_19"
886,0.027,0.533,0.254,0.94,0.642,1,0.416,0.998,0.285,0.955,0.045,0.581,0.332,0.977,0.196,0.871,0.026,0.53,0.192,0.874,0.014,0.515,-0.061,0.323,0.052,0.612,0.002,0.479,0.636,1,0.025,0.532,-0.023,0.417,0.035,0.553,-0.017,0.44
887,-0.041,0.373,0.171,0.835,0.471,0.997,0.3,0.974,0.16,0.808,0.004,0.495,0.23,0.918,0.076,0.639,-0.035,0.406,0.074,0.653,-0.036,0.394,-0.107,0.222,-0.014,0.443,-0.058,0.328,0.484,1,-0.049,0.362,-0.067,0.325,-0.016,0.445,-0.062,0.334
888,0.03,0.561,0.194,0.881,0.531,0.999,0.3,0.963,0.245,0.927,0.015,0.512,0.223,0.907,0.172,0.858,0.007,0.497,0.168,0.839,-0.004,0.466,-0.047,0.365,0.076,0.682,-0.035,0.383,0.613,1,0.064,0.638,-0.047,0.35,0.055,0.613,-0.017,0.426
889,-0.003,0.469,0.198,0.925,0.502,0.999,0.353,0.995,0.142,0.825,0.047,0.593,0.26,0.973,0.095,0.718,0.024,0.549,0.097,0.722,0.021,0.537,-0.089,0.26,0.006,0.485,-0.025,0.402,0.478,1,-0.021,0.403,-0.028,0.39,-0.006,0.457,-0.032,0.377
890,-0.053,0.304,0.182,0.903,0.525,1,0.34,0.996,0.117,0.787,0.017,0.528,0.242,0.964,0.06,0.629,-0.023,0.4,0.056,0.634,-0.032,0.382,-0.098,0.204,-0.022,0.385,-0.043,0.345,0.473,0.999,-0.04,0.34,-0.041,0.338,-0.034,0.369,-0.044,0.328
891,-0.015,0.425,0.168,0.849,0.57,1,0.334,0.988,0.192,0.874,0.003,0.491,0.238,0.944,0.119,0.747,-0.023,0.407,0.121,0.763,-0.031,0.391,-0.109,0.201,0.003,0.482,-0.066,0.292,0.579,1,-0.025,0.41,-0.073,0.281,-0.011,0.452,-0.064,0.294
892,-0.117,0.179,0.157,0.834,0.373,0.992,0.228,0.924,0.048,0.601,-0.041,0.368,0.176,0.881,-0.016,0.411,-0.097,0.217,-0.034,0.376,-0.094,0.216,-0.184,0.062,-0.124,0.167,-0.133,0.137,0.296,0.97,-0.144,0.149,-0.142,0.122,-0.13,0.147,-0.138,0.123
893,-0.016,0.426,0.181,0.898,0.56,1,0.385,0.995,0.167,0.867,0.036,0.576,0.255,0.957,0.111,0.772,0.006,0.486,0.099,0.742,0,0.48,-0.085,0.218,-0.018,0.416,-0.01,0.446,0.521,1,-0.037,0.372,-0.023,0.408,-0.014,0.432,-0.012,0.441
894,-0.067,0.324,0.179,0.862,0.437,0.997,0.263,0.951,0.127,0.755,0,0.468,0.197,0.862,0.049,0.585,-0.048,0.358,0.054,0.603,-0.064,0.33,-0.122,0.217,-0.03,0.41,-0.09,0.277,0.467,1,-0.057,0.333,-0.104,0.246,-0.049,0.362,-0.072,0.29
895,0.013,0.52,0.278,0.939,0.614,1,0.373,0.979,0.253,0.901,0.038,0.562,0.298,0.955,0.144,0.765,-0.004,0.474,0.143,0.772,-0.001,0.49,-0.077,0.291,0.034,0.55,-0.041,0.387,0.584,1,0.019,0.528,-0.05,0.371,0.008,0.504,-0.043,0.387
