"Tree","MDI_1","p_1","MDI_2","p_2","MDI_3","p_3","MDI_4","p_4","MDI_5","p_5","MDI_6","p_6","MDI_7","p_7","MDI_8","p_8","MDI_9","p_9","MDI_10","p_10","MDI_11","p_11","MDI_12","p_12","MDI_13","p_13","MDI_14","p_14","MDI_15","p_15","MDI_16","p_16","MDI_17","p_17","MDI_18","p_18","MDI_19","p_19"
1,0.044,0.589,0.177,0.865,0.608,1,0.343,0.991,0.189,0.894,0.097,0.715,0.249,0.941,0.151,0.811,0.074,0.662,0.145,0.817,0.067,0.645,-0.008,0.439,0.102,0.719,0.029,0.544,0.615,1,0.079,0.682,0.024,0.521,0.099,0.721,0.031,0.539
2,-0.057,0.289,0.168,0.866,0.433,0.997,0.301,0.977,0.138,0.834,-0.007,0.455,0.2,0.901,0.057,0.637,-0.048,0.333,0.059,0.634,-0.067,0.29,-0.11,0.16,-0.037,0.36,-0.08,0.262,0.454,1,-0.052,0.31,-0.089,0.248,-0.056,0.313,-0.073,0.269
3,0.021,0.529,0.176,0.866,0.557,1,0.372,0.996,0.207,0.915,0.032,0.555,0.256,0.971,0.159,0.849,0.017,0.51,0.157,0.838,0.011,0.518,-0.066,0.282,0.055,0.617,-0.012,0.434,0.574,1,0.014,0.506,-0.025,0.406,0.035,0.573,-0.024,0.42
4,0.138,0.806,0.257,0.959,0.675,1,0.405,0.998,0.333,0.994,0.137,0.783,0.301,0.978,0.273,0.969,0.118,0.755,0.284,0.965,0.13,0.786,0.055,0.608,0.152,0.826,0.098,0.68,0.642,1,0.132,0.796,0.088,0.682,0.143,0.807,0.099,0.708
5,-0.08,0.226,0.116,0.791,0.282,0.985,0.25,0.968,0.053,0.613,-0.004,0.448,0.186,0.915,-0.012,0.431,-0.053,0.304,0.002,0.462,-0.054,0.284,-0.146,0.092,-0.095,0.198,-0.103,0.169,0.29,0.98,-0.109,0.171,-0.11,0.165,-0.092,0.197,-0.097,0.195
6,-0.081,0.267,0.149,0.83,0.374,0.995,0.247,0.955,0.094,0.729,-0.026,0.394,0.19,0.895,0.032,0.563,-0.069,0.277,0.037,0.576,-0.075,0.297,-0.113,0.178,-0.039,0.364,-0.101,0.213,0.445,0.998,-0.057,0.319,-0.113,0.202,-0.049,0.339,-0.091,0.232
7,0.085,0.666,0.244,0.923,0.537,1,0.389,0.987,0.266,0.939,0.104,0.712,0.288,0.959,0.191,0.875,0.079,0.661,0.197,0.878,0.071,0.644,-0.04,0.367,0.049,0.6,0.017,0.526,0.55,0.999,0.019,0.526,0.001,0.474,0.049,0.613,-0.002,0.471
8,-0.068,0.304,0.168,0.856,0.316,0.978,0.235,0.93,0.109,0.717,-0.017,0.426,0.194,0.878,0.03,0.548,-0.045,0.351,0.034,0.553,-0.06,0.318,-0.128,0.149,-0.044,0.345,-0.117,0.188,0.382,0.992,-0.064,0.309,-0.121,0.161,-0.066,0.276,-0.1,0.239
9,0.066,0.632,0.244,0.929,0.611,1,0.372,0.989,0.265,0.944,0.097,0.704,0.296,0.971,0.174,0.849,0.06,0.619,0.18,0.868,0.062,0.619,-0.008,0.456,0.112,0.734,0.013,0.514,0.63,1,0.061,0.626,-0.004,0.473,0.09,0.71,-0.004,0.486
10,0.071,0.667,0.2,0.897,0.609,0.999,0.332,0.993,0.217,0.932,0.089,0.707,0.235,0.933,0.184,0.88,0.073,0.663,0.19,0.896,0.08,0.691,0.024,0.551,0.11,0.765,0.047,0.59,0.554,1,0.094,0.705,0.048,0.594,0.099,0.742,0.046,0.608
11,0.005,0.475,0.17,0.839,0.54,1,0.334,0.993,0.162,0.852,0.022,0.527,0.226,0.92,0.119,0.774,-0.012,0.443,0.119,0.767,-0.013,0.437,-0.078,0.271,0.011,0.501,-0.033,0.383,0.522,1,-0.014,0.417,-0.04,0.371,-0.005,0.467,-0.029,0.394
12,0.062,0.629,0.254,0.908,0.501,0.998,0.338,0.972,0.281,0.921,0.08,0.656,0.275,0.934,0.188,0.819,0.055,0.609,0.166,0.813,0.042,0.58,-0.002,0.479,0.079,0.656,0.023,0.522,0.549,0.999,0.055,0.603,0.025,0.536,0.086,0.663,0,0.485
13,-0.065,0.293,0.096,0.713,0.423,0.999,0.218,0.91,0.136,0.812,-0.062,0.295,0.13,0.79,0.069,0.656,-0.081,0.253,0.078,0.68,-0.087,0.24,-0.129,0.136,-0.037,0.365,-0.115,0.18,0.458,1,-0.052,0.307,-0.129,0.151,-0.061,0.309,-0.104,0.184
14,0.006,0.484,0.209,0.914,0.585,1,0.356,0.992,0.256,0.972,0.021,0.533,0.262,0.948,0.173,0.87,-0.01,0.455,0.194,0.889,-0.019,0.418,-0.092,0.257,0.049,0.588,-0.063,0.309,0.634,1,0.016,0.536,-0.076,0.287,0.021,0.515,-0.05,0.333
15,-0.049,0.358,0.149,0.789,0.353,0.992,0.269,0.961,0.111,0.717,-0.005,0.448,0.195,0.879,0.042,0.57,-0.031,0.384,0.036,0.564,-0.047,0.35,-0.103,0.24,-0.025,0.405,-0.075,0.29,0.394,0.997,-0.049,0.361,-0.09,0.239,-0.036,0.393,-0.077,0.278
16,0.04,0.583,0.223,0.929,0.519,1,0.354,0.994,0.227,0.947,0.06,0.633,0.279,0.968,0.137,0.809,0.045,0.594,0.142,0.827,0.042,0.592,-0.044,0.36,0.042,0.597,0.009,0.501,0.516,1,0.028,0.552,0.008,0.489,0.03,0.55,0.016,0.514
17,0.051,0.632,0.206,0.923,0.479,0.999,0.32,0.987,0.203,0.901,0.069,0.656,0.244,0.952,0.151,0.846,0.044,0.605,0.144,0.856,0.04,0.594,-0.027,0.403,0.044,0.605,0.006,0.499,0.496,1,0.03,0.557,0.002,0.49,0.037,0.569,0.003,0.493
18,0.007,0.485,0.188,0.891,0.536,1,0.323,0.984,0.204,0.903,0.028,0.553,0.25,0.931,0.121,0.767,0.002,0.477,0.141,0.796,-0.008,0.458,-0.06,0.329,0.033,0.548,-0.015,0.443,0.545,1,0.028,0.531,-0.024,0.415,0.016,0.527,-0.008,0.453
19,0.005,0.498,0.163,0.881,0.394,0.999,0.311,0.99,0.124,0.793,0.049,0.623,0.237,0.954,0.077,0.692,0.012,0.498,0.086,0.715,0.006,0.501,-0.093,0.209,-0.04,0.352,-0.045,0.347,0.387,0.997,-0.054,0.323,-0.056,0.315,-0.03,0.381,-0.049,0.327
20,0.044,0.588,0.206,0.944,0.452,1,0.34,0.996,0.24,0.955,0.052,0.622,0.249,0.971,0.178,0.896,0.033,0.56,0.186,0.921,0.024,0.544,-0.061,0.29,0.035,0.581,-0.017,0.423,0.506,1,0,0.455,-0.019,0.407,0.007,0.482,-0.011,0.415
21,-0.049,0.349,0.159,0.828,0.408,0.998,0.288,0.967,0.142,0.794,-0.012,0.437,0.234,0.927,0.079,0.657,-0.045,0.366,0.068,0.643,-0.043,0.361,-0.136,0.158,-0.038,0.381,-0.084,0.263,0.462,1,-0.06,0.319,-0.107,0.224,-0.053,0.353,-0.088,0.259
22,-0.04,0.369,0.185,0.875,0.401,0.998,0.247,0.938,0.197,0.874,-0.036,0.371,0.202,0.879,0.103,0.74,-0.05,0.348,0.109,0.753,-0.052,0.336,-0.12,0.153,-0.027,0.386,-0.095,0.22,0.468,1,-0.04,0.378,-0.116,0.194,-0.033,0.373,-0.092,0.238
23,-0.011,0.446,0.207,0.916,0.491,1,0.314,0.979,0.228,0.935,0.017,0.505,0.254,0.941,0.132,0.793,-0.022,0.423,0.144,0.794,-0.024,0.416,-0.108,0.206,0.011,0.515,-0.073,0.29,0.515,1,-0.018,0.427,-0.082,0.272,-0.005,0.466,-0.07,0.297
24,0.137,0.828,0.193,0.909,0.601,1,0.359,0.998,0.27,0.968,0.129,0.826,0.249,0.962,0.257,0.959,0.114,0.775,0.252,0.968,0.11,0.775,-0.013,0.436,0.086,0.718,0.047,0.597,0.545,1,0.058,0.647,0.04,0.578,0.074,0.678,0.041,0.591
25,-0.017,0.431,0.146,0.805,0.395,0.997,0.286,0.966,0.16,0.827,0.012,0.499,0.218,0.909,0.087,0.68,-0.011,0.444,0.104,0.715,-0.012,0.437,-0.076,0.306,-0.003,0.476,-0.041,0.376,0.43,0.999,-0.018,0.43,-0.053,0.354,-0.009,0.454,-0.046,0.37
26,-0.049,0.349,0.224,0.913,0.513,1,0.332,0.98,0.192,0.876,-0.007,0.466,0.263,0.964,0.085,0.709,-0.052,0.343,0.092,0.7,-0.046,0.354,-0.133,0.163,-0.037,0.386,-0.089,0.248,0.486,0.999,-0.054,0.337,-0.094,0.244,-0.046,0.364,-0.088,0.252
27,0.01,0.495,0.195,0.903,0.413,0.998,0.306,0.992,0.185,0.896,0.037,0.57,0.223,0.935,0.112,0.753,0.014,0.516,0.104,0.74,0.005,0.48,-0.049,0.341,0.025,0.555,-0.026,0.397,0.431,0.999,-0.004,0.458,-0.029,0.384,0.014,0.517,-0.018,0.425
28,0.011,0.506,0.233,0.926,0.553,1,0.349,0.992,0.225,0.921,0.034,0.571,0.269,0.962,0.143,0.818,0.002,0.482,0.145,0.828,0.002,0.481,-0.054,0.327,0.058,0.624,-0.025,0.409,0.591,1,0.016,0.519,-0.036,0.366,0.03,0.556,-0.026,0.417
29,0.036,0.573,0.187,0.891,0.394,0.996,0.25,0.966,0.241,0.948,0.017,0.498,0.196,0.905,0.169,0.866,0.01,0.494,0.168,0.859,0.005,0.493,-0.058,0.306,0.038,0.568,-0.04,0.362,0.443,0.998,0.008,0.497,-0.05,0.315,0.009,0.488,-0.023,0.406
30,-0.063,0.302,0.122,0.773,0.439,0.999,0.27,0.957,0.088,0.694,-0.022,0.413,0.174,0.871,0.025,0.548,-0.051,0.329,0.038,0.572,-0.073,0.272,-0.146,0.118,-0.056,0.328,-0.106,0.194,0.435,0.998,-0.08,0.242,-0.114,0.182,-0.086,0.251,-0.106,0.188
31,0.053,0.624,0.262,0.956,0.618,1,0.411,0.998,0.274,0.967,0.06,0.636,0.314,0.986,0.208,0.901,0.043,0.587,0.212,0.917,0.016,0.505,-0.066,0.31,0.04,0.581,-0.006,0.447,0.597,1,0.021,0.532,-0.025,0.406,0.031,0.565,-0.018,0.435
32,0.091,0.726,0.203,0.935,0.535,1,0.323,0.992,0.267,0.965,0.093,0.738,0.242,0.935,0.212,0.922,0.087,0.736,0.211,0.929,0.074,0.677,-0.011,0.442,0.074,0.7,0.016,0.527,0.541,1,0.053,0.644,0.012,0.526,0.066,0.667,0.014,0.525
33,0.022,0.527,0.207,0.887,0.478,0.998,0.315,0.978,0.2,0.854,0.055,0.613,0.252,0.927,0.134,0.769,0.022,0.534,0.126,0.739,0.017,0.507,-0.057,0.334,0.03,0.554,-0.019,0.431,0.519,0.999,0.023,0.545,-0.05,0.365,0.02,0.518,-0.024,0.418
34,0.009,0.511,0.198,0.92,0.489,1,0.325,0.983,0.187,0.898,0.055,0.658,0.253,0.965,0.128,0.81,0.004,0.475,0.133,0.81,0.006,0.488,-0.082,0.263,0.026,0.547,-0.052,0.33,0.518,1,0,0.479,-0.06,0.303,-0.011,0.44,-0.054,0.316
35,0.058,0.627,0.235,0.935,0.468,1,0.309,0.988,0.255,0.952,0.065,0.64,0.243,0.956,0.173,0.869,0.05,0.618,0.186,0.883,0.035,0.57,-0.022,0.405,0.064,0.661,0.007,0.506,0.502,1,0.046,0.591,0.002,0.497,0.056,0.623,0.013,0.521
36,0.006,0.492,0.204,0.911,0.48,0.999,0.343,0.981,0.204,0.923,0.058,0.643,0.275,0.966,0.13,0.8,0.004,0.477,0.136,0.809,-0.005,0.457,-0.079,0.271,0.006,0.504,-0.045,0.346,0.496,1,-0.024,0.412,-0.053,0.336,-0.003,0.471,-0.034,0.371
37,0.129,0.819,0.115,0.797,0.413,0.998,0.307,0.991,0.21,0.935,0.099,0.741,0.19,0.908,0.209,0.929,0.097,0.74,0.212,0.928,0.115,0.791,-0.007,0.457,0.052,0.615,0.049,0.619,0.428,1,0.032,0.55,0.044,0.595,0.047,0.614,0.038,0.578
38,-0.035,0.393,0.209,0.869,0.384,0.988,0.288,0.943,0.175,0.82,0.006,0.492,0.24,0.912,0.072,0.635,-0.043,0.375,0.087,0.683,-0.046,0.372,-0.094,0.254,-0.004,0.472,-0.064,0.331,0.463,0.997,-0.032,0.419,-0.075,0.293,-0.034,0.403,-0.077,0.307
39,-0.031,0.376,0.204,0.921,0.404,0.999,0.305,0.983,0.159,0.837,0.021,0.529,0.25,0.962,0.067,0.649,-0.017,0.426,0.066,0.655,-0.028,0.407,-0.091,0.247,-0.023,0.413,-0.063,0.306,0.431,1,-0.034,0.38,-0.064,0.31,-0.032,0.376,-0.05,0.344
40,-0.036,0.366,0.21,0.89,0.349,0.981,0.245,0.933,0.181,0.866,-0.004,0.455,0.211,0.905,0.088,0.71,-0.023,0.435,0.086,0.685,-0.038,0.384,-0.079,0.264,-0.013,0.426,-0.078,0.275,0.435,0.997,-0.023,0.431,-0.078,0.278,-0.024,0.4,-0.069,0.315
41,0.098,0.689,0.244,0.896,0.509,1,0.357,0.991,0.267,0.926,0.097,0.691,0.288,0.958,0.198,0.854,0.08,0.663,0.188,0.838,0.059,0.614,-0.011,0.468,0.065,0.616,0.035,0.564,0.548,1,0.04,0.576,0.02,0.524,0.062,0.62,0.026,0.547
42,-0.024,0.422,0.192,0.867,0.428,0.996,0.244,0.935,0.18,0.831,0.005,0.505,0.193,0.875,0.108,0.719,-0.05,0.368,0.101,0.707,-0.046,0.362,-0.104,0.225,-0.007,0.466,-0.093,0.261,0.505,0.999,-0.025,0.412,-0.102,0.248,-0.022,0.425,-0.09,0.27
43,-0.037,0.367,0.158,0.826,0.316,0.971,0.241,0.941,0.155,0.828,-0.005,0.451,0.195,0.881,0.077,0.664,-0.05,0.351,0.073,0.671,-0.058,0.329,-0.12,0.16,-0.047,0.341,-0.099,0.222,0.388,0.994,-0.053,0.333,-0.113,0.183,-0.065,0.307,-0.086,0.243
44,-0.044,0.373,0.177,0.838,0.365,0.989,0.269,0.937,0.149,0.777,0.009,0.498,0.206,0.891,0.067,0.628,-0.04,0.385,0.056,0.603,-0.055,0.332,-0.122,0.209,-0.023,0.422,-0.099,0.251,0.426,0.999,-0.045,0.362,-0.105,0.244,-0.037,0.383,-0.072,0.283
45,0.161,0.819,0.308,0.967,0.593,1,0.372,0.992,0.303,0.968,0.171,0.854,0.305,0.963,0.257,0.928,0.162,0.834,0.257,0.935,0.158,0.819,0.044,0.592,0.123,0.784,0.114,0.747,0.557,1,0.106,0.714,0.108,0.716,0.12,0.739,0.105,0.729
46,-0.093,0.24,0.073,0.641,0.232,0.938,0.152,0.823,0.047,0.605,-0.053,0.324,0.104,0.748,-0.017,0.398,-0.071,0.278,0.008,0.486,-0.082,0.255,-0.13,0.133,-0.062,0.284,-0.136,0.151,0.334,0.985,-0.067,0.286,-0.14,0.141,-0.097,0.219,-0.105,0.193
47,-0.026,0.409,0.206,0.893,0.35,0.991,0.248,0.947,0.208,0.907,-0.026,0.413,0.213,0.904,0.103,0.725,-0.05,0.341,0.118,0.757,-0.047,0.36,-0.105,0.215,-0.023,0.406,-0.057,0.324,0.381,0.995,-0.037,0.382,-0.059,0.316,-0.037,0.38,-0.063,0.32
48,-0.005,0.469,0.21,0.914,0.591,1,0.304,0.985,0.199,0.895,0.025,0.542,0.242,0.945,0.123,0.767,-0.009,0.456,0.14,0.824,-0.017,0.441,-0.043,0.369,0.057,0.652,-0.016,0.439,0.549,1,0.026,0.546,-0.022,0.435,0.024,0.556,-0.015,0.44
49,-0.028,0.414,0.225,0.89,0.528,1,0.346,0.964,0.153,0.785,0.051,0.606,0.272,0.924,0.093,0.677,-0.002,0.477,0.097,0.688,-0.022,0.422,-0.095,0.255,0.021,0.539,-0.066,0.325,0.555,1,-0.006,0.454,-0.076,0.309,-0.003,0.476,-0.055,0.347
50,-0.012,0.43,0.201,0.938,0.452,0.999,0.324,0.991,0.162,0.875,0.036,0.574,0.244,0.964,0.086,0.722,-0.001,0.466,0.102,0.75,-0.007,0.462,-0.093,0.214,-0.002,0.461,-0.048,0.319,0.477,1,-0.021,0.415,-0.062,0.298,-0.021,0.406,-0.056,0.316
51,-0.074,0.295,0.118,0.77,0.54,1,0.322,0.987,0.082,0.708,-0.008,0.441,0.191,0.899,0.043,0.586,-0.053,0.314,0.042,0.593,-0.058,0.319,-0.122,0.178,-0.037,0.367,-0.05,0.34,0.504,1,-0.065,0.276,-0.06,0.311,-0.047,0.331,-0.041,0.354
52,0.045,0.593,0.249,0.935,0.574,1,0.377,0.996,0.265,0.955,0.059,0.608,0.302,0.968,0.185,0.849,0.027,0.531,0.177,0.854,0.028,0.542,-0.059,0.32,0.048,0.605,-0.034,0.386,0.592,1,0.009,0.492,-0.034,0.383,0.042,0.582,-0.03,0.413
53,0.035,0.57,0.181,0.848,0.485,1,0.308,0.974,0.216,0.898,0.051,0.6,0.223,0.914,0.155,0.826,0.019,0.511,0.151,0.804,0.018,0.527,-0.09,0.253,0.001,0.479,-0.059,0.317,0.496,0.999,-0.014,0.448,-0.06,0.324,-0.004,0.445,-0.063,0.334
54,-0.029,0.371,0.17,0.896,0.359,1,0.269,0.976,0.168,0.876,0.006,0.477,0.2,0.947,0.089,0.73,-0.02,0.407,0.103,0.758,-0.028,0.382,-0.11,0.159,-0.049,0.317,-0.067,0.263,0.383,0.999,-0.062,0.274,-0.086,0.236,-0.056,0.293,-0.057,0.288
55,-0.048,0.38,0.198,0.864,0.386,0.986,0.258,0.938,0.125,0.746,0.014,0.505,0.203,0.871,0.056,0.616,-0.024,0.417,0.06,0.622,-0.038,0.391,-0.127,0.21,-0.031,0.391,-0.075,0.284,0.422,0.994,-0.05,0.347,-0.075,0.296,-0.026,0.415,-0.074,0.293
56,0.08,0.668,0.203,0.884,0.6,1,0.368,0.992,0.23,0.92,0.096,0.696,0.265,0.959,0.211,0.909,0.06,0.616,0.213,0.904,0.062,0.636,-0.031,0.386,0.062,0.629,0.013,0.501,0.575,1,0.027,0.545,-0.007,0.443,0.04,0.568,0.002,0.458
57,-0.049,0.309,0.162,0.886,0.448,0.999,0.315,0.991,0.137,0.835,0.011,0.492,0.221,0.956,0.061,0.632,-0.034,0.372,0.065,0.664,-0.046,0.323,-0.092,0.203,-0.01,0.433,-0.053,0.309,0.46,1,-0.024,0.386,-0.061,0.279,-0.028,0.386,-0.047,0.311
58,-0.064,0.276,0.152,0.833,0.361,0.995,0.26,0.974,0.123,0.782,-0.027,0.405,0.201,0.912,0.044,0.583,-0.064,0.293,0.052,0.61,-0.073,0.261,-0.131,0.13,-0.034,0.384,-0.1,0.205,0.42,0.999,-0.062,0.296,-0.103,0.197,-0.058,0.326,-0.106,0.226
59,0.073,0.658,0.197,0.894,0.51,1,0.328,0.984,0.213,0.912,0.096,0.709,0.235,0.938,0.16,0.832,0.072,0.666,0.164,0.837,0.058,0.63,-0.027,0.391,0.064,0.645,-0.006,0.455,0.555,1,0.038,0.595,0.008,0.494,0.054,0.606,0.022,0.542
60,0.018,0.529,0.192,0.913,0.465,1,0.304,0.997,0.238,0.966,0.03,0.56,0.245,0.958,0.146,0.867,0.008,0.501,0.152,0.851,0.003,0.491,-0.068,0.29,0.027,0.562,-0.023,0.415,0.499,1,0.001,0.474,-0.037,0.382,0.004,0.481,-0.041,0.359
61,-0.094,0.223,0.115,0.774,0.296,0.967,0.195,0.892,0.096,0.71,-0.048,0.327,0.143,0.822,0.024,0.53,-0.093,0.215,0.027,0.538,-0.107,0.207,-0.165,0.111,-0.094,0.237,-0.137,0.138,0.324,0.987,-0.104,0.195,-0.165,0.102,-0.105,0.195,-0.131,0.146
62,-0.005,0.462,0.173,0.845,0.405,1,0.302,0.975,0.156,0.836,0.036,0.566,0.224,0.918,0.094,0.693,0.003,0.47,0.107,0.725,-0.012,0.437,-0.085,0.259,0.009,0.49,-0.048,0.335,0.458,0.999,-0.014,0.441,-0.053,0.314,-0.006,0.46,-0.049,0.358
63,-0.04,0.39,0.174,0.837,0.412,0.989,0.258,0.926,0.163,0.814,0.005,0.499,0.185,0.872,0.068,0.641,-0.051,0.368,0.073,0.652,-0.047,0.364,-0.103,0.222,-0.021,0.427,-0.076,0.292,0.471,1,-0.035,0.406,-0.075,0.298,-0.028,0.406,-0.063,0.332
64,0.079,0.67,0.231,0.9,0.515,1,0.333,0.971,0.269,0.942,0.076,0.651,0.268,0.936,0.2,0.878,0.055,0.612,0.202,0.863,0.052,0.623,0.007,0.507,0.097,0.692,0.005,0.497,0.582,1,0.08,0.684,0.01,0.508,0.081,0.686,0.009,0.51
65,-0.017,0.423,0.15,0.83,0.569,1,0.369,0.993,0.132,0.812,0.037,0.574,0.25,0.946,0.099,0.718,0.001,0.472,0.101,0.731,0.001,0.467,-0.096,0.2,0.003,0.467,-0.049,0.323,0.557,1,-0.023,0.406,-0.057,0.312,-0.017,0.419,-0.037,0.369
66,0,0.477,0.147,0.881,0.463,1,0.28,0.994,0.173,0.923,0.007,0.499,0.193,0.947,0.103,0.789,-0.006,0.442,0.104,0.77,-0.019,0.403,-0.067,0.254,0.003,0.47,-0.016,0.417,0.449,1,-0.017,0.399,-0.027,0.373,-0.01,0.435,-0.022,0.383
67,-0.004,0.464,0.167,0.872,0.515,1,0.348,0.991,0.134,0.8,0.074,0.667,0.241,0.936,0.089,0.695,0.02,0.522,0.103,0.742,0.025,0.524,-0.063,0.294,0.017,0.518,-0.02,0.414,0.491,0.999,0.002,0.47,-0.026,0.412,-0.002,0.467,-0.028,0.399
68,0.064,0.621,0.195,0.909,0.491,0.999,0.309,0.984,0.206,0.908,0.063,0.648,0.221,0.935,0.169,0.865,0.07,0.654,0.165,0.854,0.061,0.62,0.004,0.492,0.068,0.637,0.032,0.554,0.471,1,0.064,0.641,0.027,0.548,0.07,0.638,0.034,0.563
69,0.071,0.646,0.228,0.897,0.622,1,0.4,0.993,0.255,0.928,0.089,0.687,0.285,0.96,0.207,0.892,0.074,0.644,0.199,0.853,0.066,0.652,-0.026,0.407,0.076,0.655,0.042,0.592,0.605,1,0.05,0.602,0.038,0.579,0.081,0.666,0.029,0.543
70,0.06,0.625,0.223,0.918,0.631,1,0.395,0.997,0.289,0.954,0.067,0.644,0.301,0.973,0.234,0.923,0.045,0.598,0.221,0.911,0.031,0.558,-0.039,0.382,0.07,0.649,-0.003,0.469,0.664,1,0.047,0.596,-0.012,0.445,0.052,0.629,0.006,0.503
71,0.18,0.834,0.254,0.919,0.462,0.994,0.395,0.988,0.319,0.963,0.163,0.811,0.293,0.945,0.277,0.933,0.16,0.795,0.27,0.941,0.15,0.765,0.045,0.582,0.09,0.669,0.115,0.726,0.513,0.998,0.067,0.63,0.099,0.71,0.091,0.685,0.097,0.716
72,0.067,0.654,0.263,0.945,0.554,1,0.356,0.987,0.287,0.961,0.083,0.678,0.301,0.963,0.206,0.892,0.061,0.633,0.209,0.873,0.061,0.646,-0.012,0.446,0.094,0.711,0.01,0.495,0.586,1,0.069,0.654,0.012,0.508,0.091,0.706,0.006,0.49
73,0.043,0.575,0.24,0.911,0.359,0.984,0.315,0.973,0.233,0.913,0.081,0.67,0.273,0.942,0.145,0.814,0.04,0.588,0.148,0.801,0.046,0.587,-0.054,0.339,0.029,0.544,-0.031,0.407,0.421,0.997,-0.005,0.459,-0.05,0.364,0.009,0.509,-0.049,0.357
74,0.046,0.612,0.248,0.969,0.441,1,0.314,0.994,0.219,0.95,0.06,0.657,0.26,0.975,0.141,0.855,0.045,0.606,0.147,0.866,0.037,0.576,-0.036,0.368,0.037,0.606,0.007,0.507,0.447,1,0.014,0.52,-0.009,0.443,0.032,0.575,-0.008,0.438
75,0.021,0.52,0.225,0.925,0.559,1,0.352,0.987,0.212,0.905,0.051,0.611,0.271,0.968,0.15,0.832,0.01,0.497,0.157,0.83,0.014,0.499,-0.085,0.246,0.025,0.535,-0.043,0.351,0.546,1,-0.004,0.452,-0.049,0.327,0.009,0.497,-0.05,0.326
76,-0.002,0.47,0.211,0.908,0.382,0.996,0.291,0.959,0.192,0.875,0.03,0.544,0.24,0.923,0.109,0.729,-0.012,0.446,0.112,0.74,-0.01,0.444,-0.079,0.277,-0.005,0.462,-0.056,0.324,0.405,0.994,-0.028,0.402,-0.051,0.361,-0.026,0.412,-0.057,0.338
77,0.009,0.505,0.195,0.911,0.492,0.999,0.36,0.997,0.197,0.917,0.062,0.666,0.272,0.974,0.116,0.795,0.036,0.583,0.118,0.781,0.013,0.521,-0.072,0.283,0.002,0.475,-0.024,0.403,0.471,1,-0.014,0.421,-0.028,0.376,-0.015,0.43,-0.01,0.442
78,-0.048,0.353,0.144,0.825,0.403,0.999,0.274,0.97,0.14,0.807,-0.003,0.456,0.206,0.909,0.062,0.631,-0.034,0.383,0.077,0.664,-0.042,0.355,-0.103,0.219,-0.031,0.385,-0.067,0.273,0.46,0.999,-0.038,0.361,-0.077,0.273,-0.041,0.358,-0.058,0.304
79,-0.008,0.437,0.224,0.92,0.544,1,0.374,0.987,0.201,0.89,0.02,0.517,0.285,0.964,0.132,0.785,-0.008,0.44,0.133,0.779,-0.018,0.416,-0.062,0.314,0.016,0.519,-0.007,0.474,0.537,1,-0.004,0.465,-0.017,0.426,0.016,0.521,-0.014,0.437
80,0.006,0.487,0.225,0.925,0.601,1,0.403,0.996,0.213,0.907,0.056,0.624,0.305,0.976,0.154,0.851,0.022,0.54,0.148,0.812,0.012,0.521,-0.081,0.253,0.013,0.508,-0.018,0.423,0.586,1,0.001,0.462,-0.033,0.387,0.003,0.48,-0.017,0.42
81,0.012,0.499,0.227,0.887,0.377,0.986,0.293,0.951,0.188,0.864,0.05,0.6,0.232,0.926,0.11,0.713,-0.004,0.465,0.108,0.711,0.002,0.472,-0.065,0.316,0.004,0.494,-0.035,0.394,0.441,0.996,-0.017,0.435,-0.032,0.395,0.015,0.512,-0.027,0.417
82,0.052,0.614,0.225,0.932,0.488,1,0.304,0.975,0.221,0.949,0.077,0.677,0.238,0.945,0.158,0.851,0.06,0.643,0.157,0.815,0.048,0.598,-0.017,0.434,0.057,0.642,0.016,0.528,0.496,0.999,0.047,0.6,0.005,0.475,0.063,0.658,0.01,0.51
83,-0.016,0.427,0.166,0.856,0.479,1,0.315,0.993,0.143,0.82,0.016,0.508,0.22,0.918,0.096,0.729,-0.013,0.435,0.1,0.714,-0.017,0.423,-0.088,0.239,-0.007,0.454,-0.041,0.363,0.477,1,-0.043,0.354,-0.057,0.318,-0.023,0.408,-0.064,0.304
84,-0.009,0.425,0.158,0.906,0.413,1,0.289,0.992,0.207,0.961,0.019,0.516,0.211,0.949,0.119,0.836,-0.002,0.465,0.124,0.805,-0.026,0.38,-0.079,0.216,-0.004,0.439,-0.056,0.29,0.422,1,-0.028,0.368,-0.061,0.268,-0.029,0.374,-0.058,0.292
85,0.006,0.489,0.201,0.924,0.457,1,0.35,0.999,0.21,0.922,0.048,0.605,0.269,0.983,0.131,0.809,0.008,0.491,0.131,0.812,0.009,0.495,-0.07,0.284,0.012,0.502,-0.018,0.411,0.482,1,-0.01,0.43,-0.03,0.38,-0.014,0.426,-0.023,0.409
86,0.016,0.52,0.217,0.911,0.613,1,0.35,0.979,0.217,0.919,0.039,0.562,0.257,0.939,0.141,0.801,0.019,0.514,0.143,0.8,-0.001,0.463,-0.067,0.312,0.044,0.59,-0.016,0.431,0.62,1,0.017,0.507,-0.033,0.385,0.032,0.556,-0.018,0.424
87,0.029,0.549,0.22,0.881,0.619,1,0.346,0.979,0.211,0.851,0.062,0.632,0.246,0.909,0.144,0.792,0.023,0.528,0.137,0.757,0.013,0.508,-0.066,0.315,0.057,0.613,-0.024,0.428,0.637,1,0.026,0.545,-0.046,0.365,0.043,0.575,-0.034,0.401
