"","ModMeanVal","ModMinVal","ModMaxVal","Age","AncVal","MCCAbsRateMean","MCCAbsRateMin","MCCAbsRateMax","MeanAbsRate_Mean","MeanLower95Rate","MeanUpper95Rate","MinAbsRate_Mean","MinLower95Rate","MinUpper95Rate","MaxAbsRate_Mean","MaxLower95Rate","MaxUpper95Rate"
"A_97.5_1",11.1915858752519,-14.933332824707,40.9666656494141,37.543150907,18.0089412106882,0.181587191557892,0.877450966142882,0.611502334889143,0.211925766073638,0.0955286493321003,0.357078330015967,0.962736394183325,0.423010249817557,1.65262423191173,0.643787761842142,0.136913767799657,1.37439675550721
"A_97.5_2",35.4549619135966,24.7,43.7333343505859,12.70249145,34.1772674996136,0.100586126667535,0.746095168567393,0.752298624926237,0.123448624452574,0.0457535830079286,0.223292871716336,0.916082568658839,0.220788449397523,1.94854457875316,0.923602678514332,0.271142834569707,1.9044761544026
"A_97.5_3",32.4990740458171,18.233332824707,42.5666656494141,21.25149071,32.9228070008304,0.0199389756133136,0.691220883117209,0.453796807959725,0.0396301590463539,4.43668102321987e-06,0.110152202205962,0.736160638787555,0.267899730082006,1.29713985484779,0.479156318669433,0.246800554739315,0.794874089254124
"A_97.5_4",31.9863945785834,10.5,39.9,14.701264098,29.1477576293363,0.193087950146632,1.2684458632284,0.731382165437491,0.220040873011394,0.0785946298056727,0.393306823528613,1.34680525721047,0.438608836504815,2.89698566028231,0.797122429682072,0.285103317464705,1.55252373771291
"A_97.5_5",30.9052629972759,10.5,37.5,15.491661588,35.9755519787165,0.327291488562346,1.64446866038245,0.0984044230906972,0.335180523943995,0.118184754086107,0.66526955050988,1.65295944733198,0.642018805172183,3.12937277120589,0.0907098666202842,0.0249096104624006,0.165046910327808
"A_97.5_6",28.4666665554047,-0.966666698455811,43.9666656494141,42.96679854,30.9933951384846,0.0588065359518858,0.743831584454383,0.301937099149986,0.075879765317376,0.00143538879810852,0.169198315758625,0.812774139521369,0.424714003407087,1.35720876703356,0.312202984144902,0.173811108989418,0.480210290028669
"A_97.5_7",32.8603177751813,22.633332824707,41.0333343505859,16.535037103,33.2648476077042,0.0244650090594273,0.642968910004336,0.469819734572732,0.0316372546371408,0.0017804727940365,0.063170443085975,0.816197084419803,0.292831331868932,1.49695734694025,0.595486969453643,0.226655606902018,1.08930503831223
"A_97.5_8",31.8666666666667,30.7,33.9666656494141,23.780916021,27.7542756813834,0.172928199302827,0.123869253649243,0.261234258703272,0.186519264921235,0.0696750059604799,0.350338622795988,0.134022912630886,0.0352274008480211,0.272403347430153,0.281012653270675,0.125036102132758,0.490997325013675
"A_97.5_9",29.3722221374512,23.133332824707,42.6333343505859,23.780916021,27.7542756813834,0.0680354976502606,0.194313072406287,0.625672226253327,0.0753150597842806,0.000445667610284986,0.190851852361684,0.206453452253109,0.0529799257753786,0.422681201257885,0.670985647545345,0.318793128500495,1.11830506479911
"A_97.5_10",34.5933331298828,26.4666656494141,44.2333343505859,6.69954347500001,33.7892083779992,0.120026798077246,1.09299129946838,1.55893099456103,0.130460956536919,0.052955860153316,0.233129382088609,1.18555580811814,0.403028391047515,2.30847931185543,1.69154405095791,0.620793018215681,3.26231133744369
"A_97.5_11",34.7909093683416,21.6,43.7333343505859,22.682308557,33.919743007245,0.0384073058043202,0.543143259703296,0.432653991928541,0.0510526512960496,0.0131007756421842,0.0981413782777829,0.548708860200245,0.201306108676955,1.0823257929607,0.457644962260229,0.220599781307116,0.804776529624435
"A_97.5_12",42.6555562337239,41.3333343505859,45.3,14.400989237,38.3637158986768,0.298023994353127,0.206209337639069,0.48165330778125,0.337922607899245,0.14788734301567,0.567177403927306,0.233764296184837,0.0847803415414012,0.386200085093949,0.546239231328069,0.236401689836033,0.934312031445889
"A_97.5_13",33.3453333740234,27.1666656494141,44.2,6.69954347500001,33.7892083779992,0.0662545150475117,0.988506568141216,1.55395537932542,0.070890328369617,0.0126703029995704,0.158244909858579,1.0702057490236,0.363592080356579,2.08899227576001,1.684747314879,0.588227501627277,3.21839527334521
"A_97.5_14",33.4740743001302,27.9666656494141,42.5666656494141,36.44096371,29.5187590622891,0.108540357750081,0.0425919968864339,0.358056024285232,0.108152951281729,0.0428693912455697,0.201777023575542,0.0759649299238469,0.000129822456370939,0.171213253597543,0.410452065955618,0.207811014153885,0.679287725957926
